sku,host,ean,source_url,verdict,motivo
quilmes-clasica-lata-473ml,jumboargentina.vtexassets.com,7792798012923,https://jumboargentina.vteximg.com.br/arquivos/ids/907543/12440106001.jpg,RECUPERABLE-CON-RECORTE,"cartel de merchandising del retailer al costado de la lata (473cc CLASICA); el envase es correcto"
quilmes-stout-lata-473ml,jumboargentina.vtexassets.com,7792798001316,https://jumboargentina.vteximg.com.br/arquivos/ids/890491/Cerveza-Quilmes-Stout-473cc-1-5591.jpg,RECUPERABLE-CON-RECORTE,"cartel de merchandising (473cc STOUT); el envase es correcto"
andes-origen-rubia-lata-473ml,jumboargentina.vtexassets.com,7792798999866,https://jumboargentina.vteximg.com.br/arquivos/ids/890518/Cerveza-Andes-Origen-Rubia-473cc-1-276781.jpg,RECUPERABLE-CON-RECORTE,"cartel de merchandising (473cc RUBIA); el envase es correcto"
andes-origen-rubia-lata-473ml-pack-6,jumboargentina.vtexassets.com,7792798001712,https://jumboargentina.vteximg.com.br/arquivos/ids/890517/Cerveza-Andes-Origen-Rubia-473cc-6un-1-276612.jpg,RECUPERABLE-CON-RECORTE,"banner 6 LATAS 473CC. sobre la imagen; el pack es correcto"
brahma-chopp-lata-473ml-pack-6,jumboargentina.vtexassets.com,7792798005970,https://jumboargentina.vteximg.com.br/arquivos/ids/890496/Cerveza-Brahma-Chopp-Lata-473mlx6-1-12428.jpg,RECUPERABLE-CON-RECORTE,"banner 6 LATAS 473CC.; el pack es correcto"
budweiser-lata-473ml,jumboargentina.vtexassets.com,7793147118822,https://jumboargentina.vteximg.com.br/arquivos/ids/890497/Cerveza-Budweiser-Lata-473-Ml-1-17952.jpg,RECUPERABLE-CON-RECORTE,"cartel de merchandising (473cc RUBIA); el envase es correcto"
budweiser-lata-473ml-pack-6,jumboargentina.vtexassets.com,7793147118846,https://jumboargentina.vteximg.com.br/arquivos/ids/890508/Cerveza-Budweiser-473-Ml-X-6-Un-1-44476.jpg,RECUPERABLE-CON-RECORTE,"banner 6 LATAS 473CC.; el pack es correcto"
stella-artois-lata-473ml,jumboargentina.vtexassets.com,7792798010615,https://jumboargentina.vteximg.com.br/arquivos/ids/890507/Cerveza-Stella-Artois-Rubia-473-Ml-1-38031.jpg,RECUPERABLE-CON-RECORTE,"cartel de merchandising (473cc RUBIA); el envase es correcto"
stella-artois-lata-473ml-pack-6,jumboargentina.vtexassets.com,7792798010592,https://jumboargentina.vteximg.com.br/arquivos/ids/890519/Cerveza-Rubia-X-6-Un-Stella-Artois-1-305956.jpg,RECUPERABLE-CON-RECORTE,"banner 6 LATAS 473CC.; el pack es correcto"
patagonia-amber-lager-botella-730ml,jumboargentina.vtexassets.com,7792798002351,https://jumboargentina.vteximg.com.br/arquivos/ids/890494/Cerveza-Patagonia-Amber-Lager-730cc-1-11622.jpg,RECUPERABLE-CON-RECORTE,"cartel de merchandising (730cc AMBER LAGER); el envase es correcto"
corona-extra-botella-330ml,jumboargentina.vtexassets.com,8066145,https://jumboargentina.vteximg.com.br/arquivos/ids/161547/Cerveza-Corona-Extra-Cerveza-Corona-Extra-Botella-330-Cc-1-6416.jpg,RECHAZADA,"la URL devuelve el marcador Imagen no disponible; asset muerto desde 2020"
fernet-branca-1000ml,jumboargentina.vtexassets.com,7790290000523,https://jumboargentina.vteximg.com.br/arquivos/ids/430099/Fernet-Branca-X-1--Lt-1-169509.jpg,RECHAZADA,"la foto es una caja de regalo de carton con dos vasos impresos, no la botella"
fernet-branca-1000ml,www.espaciovino.com.ar,,https://www.espaciovino.com.ar/media/default/0001/65/thumb_64029_default_big.png,RECHAZADA,"marca de agua espaciovino sobre el borde inferior; producto y fondo por lo demas correctos"
vodka-skyy-700ml,jumboargentina.vtexassets.com,7791200200828,https://jumboargentina.vteximg.com.br/arquivos/ids/890217/Vodka-700ml-Skyy-2-1051210.jpg,RECHAZADA,"fondo azul en vez de blanco mas cartel VODKA 700 ML"
gancia-lima-limon-lata-473ml,jumboargentina.vtexassets.com,7790950142921,https://jumboargentina.vteximg.com.br/arquivos/ids/788231/Gancia-Lima-Lim-n-3-5-473ml-1-882803.jpg,RECUPERABLE-CON-RECORTE,"placa verde Americano + Lima Limon ocupa el 44.9% del borde"
